,op_unique_carrier,Delayed,ratio,Ratio_Percentage
16,HA,0,10352,87.8
0,9E,0,32250,85.61
8,DL,0,113639,85.57
28,WN,0,153579,85.14
32,YX,0,40765,84.93
26,UA,0,67023,83.16
20,NK,0,23910,82.13
10,EV,0,14156,81.75
2,AA,0,102613,81.23
24,OO,0,93965,81.08
12,F9,0,16733,80.78
6,B6,0,33327,80.61
30,YV,0,23222,79.43
18,MQ,0,32892,77.79
14,G4,0,9898,76.41
22,OH,0,29903,74.58
4,AS,0,25811,73.84
5,AS,1,9143,26.16
23,OH,1,10193,25.42
15,G4,1,3056,23.59
19,MQ,1,9393,22.21
31,YV,1,6013,20.57
7,B6,1,8018,19.39
13,F9,1,3982,19.22
25,OO,1,21920,18.92
3,AA,1,23717,18.77
11,EV,1,3160,18.25
21,NK,1,5201,17.87
27,UA,1,13571,16.84
33,YX,1,7231,15.07
29,WN,1,26812,14.86
9,DL,1,19169,14.43
1,9E,1,5419,14.39
17,HA,1,1438,12.2
