,origin_airport_id,op_unique_carrier,Delayed,ratio,Ratio_Percentage
16,10140,AS,0,38,87.8
0,10135,9E,0,67,85.61
8,10135,OH,0,114,85.57
28,10140,MQ,1,8,85.14
32,10140,UA,1,20,84.93
26,10140,G4,1,2,83.16
20,10140,DL,0,90,82.13
10,10135,OO,0,119,81.75
2,10135,DL,0,35,81.23
24,10140,F9,0,2,81.08
12,10136,MQ,0,196,80.78
6,10135,MQ,0,37,80.61
30,10140,OO,1,61,79.43
18,10140,B6,0,29,77.79
14,10140,AA,0,330,76.41
22,10140,EV,0,79,74.58
4,10135,G4,0,93,73.84
5,10135,G4,1,40,26.16
23,10140,EV,1,9,25.42
15,10140,AA,1,62,23.59
19,10140,B6,1,5,22.21
31,10140,UA,0,98,20.57
7,10135,MQ,1,13,19.39
13,10136,MQ,1,78,19.22
25,10140,G4,0,8,18.92
3,10135,DL,1,5,18.77
11,10135,OO,1,26,18.25
21,10140,DL,1,9,17.87
27,10140,MQ,0,48,16.84
33,10140,WN,0,1306,15.07
29,10140,OO,0,423,14.86
9,10135,OH,1,33,14.43
1,10135,9E,1,18,14.39
17,10140,AS,1,7,12.2
34,10140,WN,1,163,
35,10140,YV,0,216,
36,10140,YV,1,29,
37,10140,YX,0,20,
38,10141,OO,0,76,
39,10141,OO,1,24,
40,10146,OO,0,133,
41,10146,OO,1,6,
42,10155,MQ,0,133,
43,10155,MQ,1,44,
44,10155,OO,0,25,
45,10155,OO,1,7,
46,10157,OO,0,255,
47,10157,OO,1,56,
48,10158,NK,0,425,
49,10158,NK,1,57,
50,10165,AS,1,8,
51,10165,AS,0,7,
52,10170,AS,0,57,
53,10170,AS,1,28,
54,10185,9E,0,150,
55,10185,9E,1,33,
56,10185,EV,0,82,
57,10185,EV,1,14,
58,10185,MQ,0,117,
59,10185,MQ,1,28,
60,10208,9E,0,231,
61,10208,9E,1,57,
62,10208,DL,0,76,
63,10208,DL,1,8,
64,10208,MQ,0,37,
65,10208,MQ,1,15,
66,10208,OH,0,120,
67,10208,OH,1,60,
68,10257,AA,0,110,
69,10257,AA,1,29,
70,10257,B6,0,87,
71,10257,B6,1,17,
72,10257,DL,0,171,
73,10257,DL,1,10,
74,10257,EV,0,20,
75,10257,EV,1,17,
76,10257,F9,0,37,
77,10257,F9,1,15,
78,10257,G4,0,31,
79,10257,G4,1,18,
80,10257,MQ,0,61,
81,10257,MQ,1,10,
82,10257,OH,0,71,
83,10257,OH,1,26,
84,10257,OO,0,167,
85,10257,OO,1,40,
86,10257,UA,0,44,
87,10257,UA,1,13,
88,10257,WN,0,441,
89,10257,WN,1,64,
90,10257,YV,0,2,
91,10257,YV,1,1,
92,10268,MQ,0,75,
93,10268,MQ,1,22,
94,10279,AA,0,34,
95,10279,AA,1,4,
96,10279,EV,0,85,
97,10279,EV,1,10,
98,10279,MQ,0,42,
99,10279,MQ,1,8,
100,10279,OO,0,2,
101,10279,WN,0,220,
102,10279,WN,1,20,
103,10279,YV,0,175,
104,10279,YV,1,54,
105,10299,AS,0,1611,
106,10299,AS,1,360,
107,10299,DL,0,141,
108,10299,DL,1,27,
109,10299,UA,0,62,
110,10299,UA,1,10,
111,10333,OO,0,64,
112,10333,OO,1,22,
113,10372,OO,0,862,
114,10372,OO,1,497,
115,10397,9E,0,5451,
116,10397,9E,1,830,
117,10397,AA,0,1220,
118,10397,AA,1,272,
119,10397,AS,0,41,
120,10397,AS,1,21,
121,10397,B6,0,424,
122,10397,B6,1,67,
123,10397,DL,0,28282,
124,10397,DL,1,3983,
125,10397,EV,0,166,
126,10397,EV,1,21,
127,10397,F9,0,501,
128,10397,F9,1,135,
129,10397,MQ,0,18,
130,10397,MQ,1,2,
131,10397,NK,0,1001,
132,10397,NK,1,273,
133,10397,OH,0,171,
134,10397,OH,1,31,
135,10397,OO,0,2691,
136,10397,OO,1,701,
137,10397,UA,0,502,
138,10397,UA,1,96,
139,10397,WN,0,4335,
140,10397,WN,1,909,
141,10397,YV,0,200,
142,10397,YV,1,43,
143,10397,YX,0,781,
144,10397,YX,1,137,
145,10408,9E,0,82,
146,10408,9E,1,12,
147,10408,DL,0,39,
148,10408,DL,1,13,
149,10408,G4,0,53,
150,10408,G4,1,19,
151,10408,MQ,0,94,
152,10408,MQ,1,36,
153,10408,OO,0,162,
154,10408,OO,1,47,
155,10409,OO,0,79,
156,10409,OO,1,12,
157,10423,9E,0,55,
158,10423,9E,1,7,
159,10423,AA,0,1278,
160,10423,AA,1,242,
161,10423,AS,0,294,
162,10423,AS,1,55,
163,10423,B6,0,280,
164,10423,B6,1,63,
165,10423,DL,0,971,
166,10423,DL,1,112,
167,10423,EV,0,2,
168,10423,F9,0,195,
169,10423,F9,1,52,
170,10423,G4,1,27,
171,10423,G4,0,14,
172,10423,MQ,1,4,
173,10423,MQ,0,1,
174,10423,NK,0,441,
175,10423,NK,1,75,
176,10423,OO,0,102,
177,10423,OO,1,4,
178,10423,UA,0,844,
179,10423,UA,1,158,
180,10423,WN,0,2861,
181,10423,WN,1,380,
182,10423,YV,0,186,
183,10423,YV,1,36,
184,10423,YX,0,126,
185,10423,YX,1,20,
186,10431,9E,0,231,
187,10431,9E,1,49,
188,10431,DL,0,32,
189,10431,DL,1,8,
190,10431,EV,0,8,
191,10431,EV,1,2,
192,10431,G4,0,266,
193,10431,G4,1,72,
194,10431,MQ,0,46,
195,10431,MQ,1,29,
196,10431,NK,0,32,
197,10431,NK,1,7,
198,10431,OH,0,202,
199,10431,OH,1,64,
200,10431,OO,0,78,
201,10431,OO,1,29,
202,10431,YV,0,53,
203,10431,YV,1,12,
204,10431,YX,0,46,
205,10431,YX,1,6,
206,10434,DL,0,41,
207,10434,DL,1,4,
208,10434,EV,0,1,
209,10434,MQ,0,72,
210,10434,MQ,1,17,
211,10434,OH,0,132,
212,10434,OH,1,65,
213,10434,OO,0,106,
214,10434,OO,1,26,
215,10466,G4,0,590,
216,10466,G4,1,227,
217,10469,9E,0,19,
218,10469,9E,1,2,
219,10469,EV,0,2,
220,10469,MQ,0,103,
221,10469,MQ,1,23,
222,10469,OO,0,196,
223,10469,OO,1,52,
224,10529,9E,0,241,
225,10529,9E,1,20,
226,10529,AA,0,476,
227,10529,AA,1,73,
228,10529,B6,0,424,
229,10529,B6,1,107,
230,10529,DL,0,411,
231,10529,DL,1,49,
232,10529,EV,0,2,
233,10529,F9,0,43,
234,10529,F9,1,4,
235,10529,MQ,0,30,
236,10529,MQ,1,3,
237,10529,NK,0,225,
238,10529,NK,1,46,
239,10529,OH,0,124,
240,10529,OH,1,50,
241,10529,OO,0,117,
242,10529,OO,1,23,
243,10529,UA,0,171,
244,10529,UA,1,8,
245,10529,WN,0,655,
246,10529,WN,1,130,
247,10529,YV,0,188,
248,10529,YV,1,18,
249,10529,YX,0,131,
250,10529,YX,1,17,
251,10551,AS,0,87,
252,10551,AS,1,26,
253,10558,OO,0,71,
254,10558,OO,1,16,
255,10561,OO,0,133,
256,10561,OO,1,21,
257,10561,YV,0,193,
258,10561,YV,1,55,
259,10562,F9,0,18,
260,10562,F9,1,3,
261,10577,OO,0,85,
262,10577,OO,1,17,
263,10581,9E,0,98,
264,10581,9E,1,31,
265,10581,EV,0,2,
266,10581,EV,1,2,
267,10581,G4,0,29,
268,10581,G4,1,10,
269,10581,OH,0,61,
270,10581,OH,1,30,
271,10599,9E,0,24,
272,10599,9E,1,10,
273,10599,AA,0,59,
